이름,검색량
그린세라,6870
인동덩굴,3590
금은화,3500
위편한그린세라,2920
그린세라F,2540
가스트로그린세라,2410
금은화효능,1830
인동초꽃,1370
금전초효능,1320
위장운동촉진제,1300
인동초효능,1170
그린세라효능,820
위건강엔그린세라,820
그린세라-F(인동덩굴꽃봉오리추출물),710
라이블링그린케어,600
그린빈커피,570
금은화차,550
녹십자그린세라,540
진도울금효능,470
종근당그린세라,460
위로운그린세라,420
금은화추출물,360
데이즈온금은화,360
그린빈다이어트,350
그린세라위케어,280
그린세라-에프(F),270
위건강그린세라F,160
그린세라에프,130
그린세라가스트로,130
인동덩굴꽃봉오리,120
위편한금은화추출물,120
위건강그린세라,100
인동덩굴효능,80
인동덩굴꽃봉오리추출물,70
그린세라-F,60
녹십자웰빙그린세라,60
그린스토어위엔,60
인동초차,60
위장운동촉진,60
위운동촉진제,60
위그린세라,50
동백나무겨우살이,50
위건강케어그린세라,30
그린애양배추즙,30
금은화분말,30
금은화가루,30
라이블링그린,20
필박스위로운그린세라,20
필박스그린세라,10
금은화추출분말,10
